serie,time ESD,time ISD,rmse ESD,rmse ISD
1.0,3.4235156,2.8827048,3.257990912060651e-5,0.6512088865514705
2.0,1.0284939,21.2952816,3.2728973851788154e-5,0.652793735357456
3.0,0.8647422,4.7808799,3.237024051570642e-5,0.6473358946610885
4.0,4.4985959,14.4918857,3.3158272935610876e-5,0.6627916192810109
5.0,3.4107169,5.4569205,3.200115780706973e-5,0.6381171405982424
6.0,3.5122574,18.8472123,3.1589374314175174e-5,0.6304531165981129
7.0,3.0033979,3.2995413,0.000870965110143492,0.6400083342642259
8.0,1.9208805,14.8355411,3.118649056337943e-5,0.6222636405692569
9.0,0.9163201,24.5034821,3.249817864020263e-5,0.6483383853880355
10.0,1.092753,14.3463535,3.2166684902202576e-5,0.6409648832772863
